Customer ID,Total Purchases ($),Engagement Score,Predicted CLV ($)
CUST001,960,7.57,9708
CUST002,3872,6.74,16871
CUST003,3192,8.98,12335
CUST004,566,5.25,13668
CUST005,4526,2.08,2549
CUST006,3544,7.42,5923
CUST007,3271,7.85,15089
CUST008,3019,6.05,19992
CUST009,230,7.94,7658
CUST010,1785,5.44,10748
CUST011,869,5.7,7900
CUST012,2491,4.85,10374
CUST013,2533,1.23,15651
CUST014,1284,1.97,19139
CUST015,4655,1.28,1654
CUST016,3485,6.73,4999
CUST017,4217,3.83,6795
CUST018,4943,5.58,12683
CUST019,3004,9.17,13374
CUST020,574,3.24,18532
CUST021,1182,4.69,6039
CUST022,2658,7.8,10137
CUST023,2147,3.06,16086
CUST024,2847,1.69,3057
CUST025,1075,3.61,6092
CUST026,1906,2.45,16982
CUST027,289,9.37,2700
CUST028,2834,8.27,14672
CUST029,3105,6.7,3461
CUST030,4758,8.84,14707
CUST031,1999,8.23,12469
CUST032,1367,2.68,3369
CUST033,1628,9.03,17840
CUST034,3302,5.85,14492
CUST035,3656,8.27,6199
CUST036,3990,9.06,4487
CUST037,746,3.86,13946
CUST038,2988,1.99,1718
CUST039,2535,3.05,5235
CUST040,700,4.84,11796
CUST041,2463,8.36,5055
CUST042,2161,8.75,9646
CUST043,341,1.06,8550
CUST044,2141,5.6,13257
CUST045,2924,4.76,17929
CUST046,2712,3.0,7393
CUST047,1463,2.08,18577
CUST048,1578,4.04,14873
CUST049,2656,9.49,15065
CUST050,875,3.91,3936
CUST051,4114,5.67,9254
CUST052,134,7.33,11177
CUST053,3252,4.27,6395
CUST054,2055,9.75,17109
CUST055,1685,9.66,16136
CUST056,4043,3.27,7522
CUST057,3173,5.48,9651
CUST058,1121,3.71,6100
CUST059,3561,3.56,8496
CUST060,2713,1.33,9507
CUST061,3943,6.49,13446
CUST062,1600,5.52,5142
CUST063,4898,1.46,11812
CUST064,261,3.51,8179
CUST065,4397,9.17,8708
CUST066,2081,3.16,19089
CUST067,1095,2.3,11216
CUST068,3442,5.41,17953
CUST069,4651,9.87,3944
CUST070,3898,3.18,11257
CUST071,1375,7.05,14934
CUST072,1116,7.85,1560
CUST073,437,3.14,19211
CUST074,978,7.55,3920
CUST075,1176,4.31,801
CUST076,4987,6.69,12968
CUST077,4093,6.7,17490
CUST078,4959,5.82,1199
CUST079,479,1.81,690
CUST080,592,8.52,10992
CUST081,2162,3.89,17864
CUST082,3984,2.68,3475
CUST083,164,1.37,6602
CUST084,2668,6.32,18068
CUST085,2127,7.1,2316
CUST086,2795,1.15,1069
CUST087,1595,5.61,5942
CUST088,491,3.04,2395
CUST089,4614,6.81,19617
CUST090,4574,2.57,4363
CUST091,3661,7.22,13413
CUST092,2378,4.48,7955
CUST093,3199,9.43,4514
CUST094,300,2.24,11593
CUST095,4975,4.07,18570
CUST096,3204,2.02,3509
CUST097,4698,9.32,17038
CUST098,2554,8.9,11229
CUST099,3745,3.32,1909
CUST100,904,6.94,12749
